ROD_CISLO,MENO,PRIEZVISKO,ULICA,PSC
795626/6789,Nikola,Jakabová,Kyselová 974,05801
805417/4468,Erika,Tomaneková,Zajacová 540,95801
955716/9732,Vlasta,Cerníková,Kocová 377,97401
926002/9449,Laura,Klapacová,Bezáková 444,03601
985419/3812,Lubica,Cerníková,Zubeková 780,08001
626023/3071,Eva,Jurášová,Palovicová 790,97401
835628/1990,Veronika,Papová,Mráziková 398,01001
565905/2645,Alica,Zipserová,Hliníková 131,08001
585507/4507,Lucia,Holíceková,Murinová 494,90101
945110/4730,Alica,Murinová,Jurášová 385,08001
665511/4543,Zita,Šimová,Kováciková 558,90101
665909/8183,Irena,Žigmundová,Némethová 256,05801
925103/2513,Lenka,Tatárová,Bakošová 29,05801
665816/8242,Natália,Pucherová,Jakabová 440,97401
625412/9397,Lenka,Jakabová,Tóthová 834,08001
825103/5309,Jana,Finková,Nováková 934,03601
926221/2626,Daniela,Sklárová,Lukácová 366,96001
605712/6374,Karolína,Kolníková,Konrádová 782,01001
645922/8072,Veronika,Sklárová,Havranová 887,95801
545903/2846,Nina,Némethová,Žigmundová 313,96901
775521/7313,Ivana,Markovicová,Némethová 329,96901
905702/2298,Patrícia,Havranová,Maceková 882,97101
595626/6147,Jarmila,Simonová,Tomaneková 116,97401
885510/5731,Dáša,Mikuláková,Horváthová 347,03601
966220/8061,Ivana,Simonová,Kováciková 584,97101
705224/9437,Jana,Cajkovicová,Lojová 750,90101
615301/5086,Eva,Bezáková,Simonová 651,08001
995122/6687,Sona,Cerníková,Farkašová 707,01001
675613/9037,Martina,Urbanová,Bakošová 452,91101
536222/7717,Gabriela,Tatárová,Martinová 849,96901
626119/3163,Tatiana,Hudáková,Dusíková 945,04001
585120/1707,Matilda,Hliníková,Jurovicová 484,91101
606005/6414,Vanda,Mikuláková,Simonová 723,95801
775105/8583,Vilma,Murinová,Fischerová 112,97101
716115/3037,Renáta,Martinová,Murinová 169,97401
576010/2473,Eliška,Nováková,Rosová 321,90101
635603/3658,Andrea,Nezvalová,Havranová 453,96001
735706/9026,Vladimíra,Simonová,Hanaková 703,01001
625310/5217,Perla,Zajacová,Palovicová 56,97401
615407/6406,Vlasta,Jánošová,Fischerová 26,96901
660710/6991,Karol,Richtár,Zubeková 49,03601
770825/3391,Tomáš,Horváth,Finková 147,04001
760305/8192,Anton,Kozmon,Lojová 930,97101
720715/6043,Pavol,Novák,Holíceková 882,97101
920520/8089,Samuel,Tatár,Urbanová 681,08001
820901/6165,Boris,Koc,Jánošová 33,01001
920424/9595,Patrik,Marcin,Balogová 34,01001
881001/7201,Vladislav,Markovic,Gálisová 100,04001
720226/2406,Erik,Dan,Rosová 530,05801
680218/3758,Matej,Mrázik,Hanaková 386,04001
730623/2369,Tomáš,Cajkovic,Marcinová 815,03861
720327/5045,Ján,Novák,Dullová 285,04001
970515/7342,Albert,Cajkovic,Trlíková 9,97101
800425/2971,Ján,Novák,Fischerová 338,96901
620120/6490,Roman,Kysel,Jánošová 799,04001
856211/5176,Nina,Svrbíková,Martánová 80,08001
970214/7014,Branislav,Dusík,Tóthová 6,03601
790424/3654,Dávid,Zajac,Puškárová 458,08001
890416/3736,Andrej,Hliník,Kozmonová 525,08001
990125/4008,René,Tuš,Pavelová 699,04001
770604/3244,Pavol,Ondráš,Koceková 782,97401
760422/7724,Denis,Jakab,Nováková 16,05801
641116/4276,Miloš,Chovan,Cígerová 482,05801
890515/2267,Tomáš,Palovic,Vencelová 552,05801
740719/4711,Ján,Martin,Martinová 671,05801
910909/6509,Adrián,Bartoš,Hudáková 335,95801
970106/1785,Jaroslav,Gajdoš,Dusíková 30,96001
650725/4995,Boris,Lupták,Galíková 239,97401
800227/8571,Lubomír,Tóth,Simonová 880,03861
740507/3984,Adrián,Hosták,Konrádová 486,08001
570728/2298,Andrej,Holícek,Gálisová 858,96001
930118/8208,Norbert,Mrázik,Mráziková 54,05801
850316/4535,Lukáš,Baláž,Marcinová 467,91101
780207/5288,Valentín,Simon,Konrádová 222,08001
880707/9370,Jozef,Palovic,Dullová 312,97101
520212/4708,Matúš,Dan,Sklárová 760,96901
710608/7144,Oto,Valach,Jurovicová 126,08001
791011/4646,René,Orlík,Nováková 741,03601
870227/7407,Daniel,Gális,Lojová 422,95801
710626/8303,Luboš,Richtár,Hudáková 132,08001
831026/5966,Jaroslav,Gális,Tatárová 734,05801
870626/7903,Zdenko,Pap,Heretiková 901,91101
860106/6138,Miloš,Mader,Lukácová 93,03861
520506/1819,Adam,Abrahám,Balogová 952,97101
850926/4551,Viliam,Gajdoš,Hudáková 96,90101
991025/9169,Tomáš,Mrázik,Kovácová 334,05801
790306/9334,Oto,Tatár,Murinová 766,03861
921019/2264,Marek,Klapac,Farkašová 90,96001
781226/9563,Dalibor,Zajac,Kováciková 128,01001
921224/3506,Miloslav,Chovan,Maceková 188,90101
650624/8131,Martin,Dull,Sklárová 144,03601
890414/7767,Patrik,Tomanek,Hostáková 486,90101
550112/9376,Jakub,Jurovic,Balážová 250,97101
631118/9394,Martin,Bartoš,Nezvalová 337,96901
560125/8701,Dávid,Orlík,Kovácová 600,95801
921216/3796,Karol,Bakoš,Holíceková 503,91101
831126/2717,Filip,Farkaš,Cerníková 106,08001
700726/8591,Michal,Chovan,Kolníková 833,96901
910720/1556,Dávid,Novák,Fischerová 36,96001
540220/3725,Roman,Hudák,Hudáková 633,96001
940515/4273,Boris,Hliník,Zajacová 324,97401
620708/3262,Dominik,Richtár,Valachová 265,97101
700810/2790,Róbert,Novák,Kováciková 822,97401
781108/1652,Jakub,Trlík,Hudáková 412,03861
560827/1213,Adrián,Karul,Dullová 869,90101
520112/1943,Kamil,Kollár,Rosová 953,90101
760513/7017,Miloš,Hanak,Valachová 593,95801
851207/8430,Róbert,Novák,Martánová 128,01001
571014/5730,Martin,Bakoš,Orlíková 215,01001
611210/9953,Ladislav,Novák,Lojová 410,03601
881110/4303,Gabriel,Zubek,Lojová 865,95801
900401/1850,Roman,Polák,Lukácová 6,95801
760121/2237,Filip,Zajac,Kovácová 167,97401
970628/2570,Adam,Horváth,Nováková 684,91101
800818/9315,Marek,Baláž,Balogová 289,97101
700610/7193,Marek,Novák,Richtárová 682,97401
860211/2119,Daniel,Chovan,Farkašová 725,01001
790128/6900,Zdenko,Novák,Jakabová 900,03861
730713/8719,Hugo,Martin,Chovanová 134,96901
810514/5439,Vladimír,Tóth,Heretiková 855,95801
760627/2680,Luboš,Jakab,Heretiková 37,96001
560107/2378,Tomáš,Juráš,Mráziková 998,05801
740827/9807,Emil,Zajac,Kufová 99,04001
860401/8899,Boris,Hanak,Palovicová 610,08001
731020/2555,Jozef,Polák,Rosová 55,96901
651210/5075,Ivan,Zipser,Murinová 569,91101
640923/9513,Gregor,Cerník,Valachová 293,96901
866012/8357,Alexandra,Šimová,Sklárová 561,96901
766117/6551,Ela,Kolníková,Kozmonová 455,96901
855903/6382,Ela,Tomaneková,Kollárová 242,08001
846113/5083,Miriama,Farkašová,Pucherová 559,05801
536220/3533,Renáta,Zubeková,Papová 97,95801
726006/1180,Valentína,Balogová,Martinová 641,05801
915819/4084,Eva,Zubeková,Cerníková 168,96001
675610/6485,Vanda,Horváthová,Tatárová 67,04001
806024/8493,Alexandra,Bakošová,Tušová 925,08001
575805/6673,Ivana,Horváthová,Koceková 610,01001
645214/3609,Anastázia,Zipserová,Gajdošová 900,04001
656116/3391,Vlasta,Jánošová,Pucherová 352,97101
626111/8424,Lenka,Hudáková,Tušová 158,97101
606111/5632,Simona,Koceková,Fischerová 552,01001
776006/7516,Lenka,Papová,Martánová 645,91101
695810/8232,Žofia,Nováková,Dusíková 488,96901
765509/6821,Darina,Horváthová,Dullová 774,97401
625808/3251,Lenka,Bartošová,Heretiková 497,03861
645620/2241,Katarína,Luptáková,Pavlíková 698,96901
925104/2050,Edita,Urbanová,Tušová 921,03861
955926/6926,Zlatica,Orlíková,Heretiková 471,03601
665128/2621,Jana,Horváthová,Holíceková 965,01001
715718/2080,Ivana,Maceková,Tušová 174,04001
945904/8324,Jana,Palovicová,Marcinová 984,08001
985711/5094,Natália,Pavlíková,Luptáková 733,96901
525914/3645,Zlatica,Hanaková,Heretiková 864,91101
635919/8074,Karina,Molnárová,Oláhová 472,05801
875808/5178,Veronika,Markovicová,Murinová 52,90101
725412/6752,Dorota,Valachová,Oláhová 807,05801
705201/2155,Ela,Zajacová,Zajacová 238,96901
536101/5763,Katarína,Mikuláková,Koceková 943,03601
985522/8126,Romana,Heretiková,Marcinová 394,96901
895411/2825,Natália,Nováková,Balogová 907,08001
965602/9816,Etela,Horváthová,Galíková 533,90101
525702/8496,Nataša,Marcinová,Martánová 801,97401
745621/5683,Zora,Nováková,Holíceková 347,03601
845110/4776,Ivana,Abrahámová,Kozmonová 668,97101
805410/2595,Ivana,Koceková,Markovicová 897,95801
935113/8306,Sára,Jurášová,Cígerová 967,97401
615222/9416,Nina,Rosová,Martinová 523,97401
565619/7171,Dominika,Danová,Zipserová 165,04001
925713/1978,Veronika,Klapacová,Tatárová 141,90101
605724/8535,Katarína,Palovicová,Holíceková 448,08001
706104/7503,Terézia,Šimová,Horváthová 306,91101
516213/4471,Petra,Tomaneková,Kovácová 881,90101
916014/3363,Sona,Nováková,Kozmonová 239,04001
735126/4233,Etela,Rosová,Orlíková 17,05801
586104/7567,Ivana,Luptáková,Tušová 456,97101
845907/7856,Nina,Maceková,Bartošová 523,97401
896023/5909,Dominika,Kolníková,Tušová 264,97101
896011/7529,Alica,Kocová,Hliníková 759,03861
775616/2883,Patrícia,Palovicová,Kolníková 831,08001
855626/3968,Nina,Zipserová,Nováková 123,91101
745516/7560,Elena,Žigmundová,Balogová 173,05801
896109/9210,Silvia,Tatárová,Kozmonová 320,96001
846019/9102,Bohumila,Nováková,Martánová 45,95801
585303/7293,Vanda,Zipserová,Bezáková 955,97101
926103/5763,Valentína,Sklárová,Zajacová 664,95801
966103/3700,Edita,Móricová,Zajacová 39,01001
665307/5502,Vlasta,Mikuláková,Murinová 647,97401
676114/6295,Jana,Lukácová,Orlíková 939,03601
525206/9767,Nataša,Balážová,Žigmundová 631,91101
825116/6525,Júlia,Oláhová,Ondrášová 734,08001
865707/6796,Eliška,Svrbíková,Žigmundová 54,90101
986023/7880,Paulína,Chovanová,Gajdošová 555,97401
965110/8218,Anna,Tatárová,Abrahámová 204,03861
926001/4811,Jana,Dusíková,Martánová 326,08001
545117/2877,Žaneta,Svrbíková,Horváthová 663,05801
806215/3721,Viktória,Dullová,Orlíková 204,96001
965613/2379,Alica,Maderová,Hanaková 737,96001
985303/8367,Ivana,Holíceková,Bartošová 767,04001
505623/9946,Perla,Pucherová,Pavlíková 85,90101
655204/2091,Simona,Finková,Mikuláková 699,96001
815203/4562,Daniela,Hanaková,Kyselová 359,03861
766124/8140,Veronika,Nováková,Hliníková 498,96901
565505/7757,Daniela,Palovicová,Žigmundová 503,03601
875809/2785,Drahomíra,Kocová,Valachová 339,95801
905101/3611,Nina,Nováková,Nováková 342,97101
815923/9515,Valentína,Balážová,Urbanová 849,90101
975823/3669,Katarína,Tušová,Žigmundová 787,91101
835628/5936,Romana,Tušová,Cígerová 601,05801
585603/3168,Laura,Hostáková,Nezvalová 597,97101
706004/7992,Viktória,Horváthová,Jurovicová 300,05801
875926/5012,Daniela,Valachová,Zubeková 590,03861
646226/5576,Júlia,Balogová,Oláhová 708,96001
785604/2804,Lea,Richtárová,Némethová 270,91101
635606/8956,Eva,Chovanová,Jurášová 783,90101
655202/8407,Drahomíra,Vencelová,Bezáková 744,97101
916002/4143,Katarína,Bakošová,Pucherová 93,08001
565824/7325,Vlasta,Nováková,Luptáková 832,97101
895211/9326,Monika,Oláhová,Havranová 858,08001
565202/2492,Zora,Chovanová,Trlíková 551,04001
915424/1137,Eva,Cerníková,Markovicová 580,03601
585206/5532,Blažena,Farkašová,Molnárová 593,96901
835901/1925,Nikola,Karulová,Kocová 819,97101
785404/9197,Andrea,Žigmundová,Kufová 62,01001
935713/3246,Nina,Nováková,Kolníková 462,04001
605712/4423,Michaela,Abrahámová,Urbanová 579,97401
755303/9102,Ema,Horváthová,Nováková 552,97101
835115/3044,Alica,Mráziková,Abrahámová 591,01001
535102/7121,Perla,Jánošová,Urbanová 311,90101
795405/4156,Perla,Gálisová,Kocová 703,01001
865411/9490,Miloslava,Mikuláková,Maderová 627,97401
985824/1667,Zuzana,Kufová,Chovanová 165,03861
855701/5924,Lenka,Pavlíková,Heretiková 346,97101
895210/2419,Kristína,Hliníková,Kyselová 844,90101
945507/2529,Lubica,Palovicová,Jurovicová 358,08001
855505/2277,Renáta,Valachová,Simonová 583,96001
605612/4967,Blažena,Svrbíková,Kufová 274,90101
905117/1939,Eva,Papová,Žigmundová 314,97401
745308/7414,Lenka,Kocová,Cígerová 445,05801
875813/5501,Silvia,Skokanová,Nováková 535,96901
595402/7897,Tatiana,Papová,Nováková 287,08001
830828/9852,Patrik,Hosták,Danová 39,95801
881225/8044,Stanislav,Fink,Heretiková 339,96901
780814/2593,Ludovít,Dusík,Abrahámová 925,03601
780812/9634,Alfonz,Skokan,Tomaneková 319,97101
600117/2106,Miroslav,Koc,Šimová 443,04001
680823/7050,Viliam,Bezák,Lojová 80,97101
910403/6536,Igor,Simon,Simonová 681,05801
980409/3167,Emil,Murin,Kovácová 166,96901
760301/3355,Luboš,Kollár,Martánová 92,96001
830317/9259,Martin,Kovác,Kozmonová 714,03601
891205/1730,Peter,Dusík,Jurášová 25,95801
670402/3387,Oto,Martin,Móricová 557,97101
940804/1515,Gregor,Farkaš,Tóthová 522,08001
650218/7773,Radoslav,Karul,Marcinová 465,90101
700808/9439,Miroslav,Novák,Zipserová 600,95801
540915/3040,Filip,Marcin,Trlíková 820,03601
960917/5737,Vladislav,Murin,Simonová 859,03601
950219/4770,Igor,Tuš,Karulová 718,05801
750220/2312,Dávid,Bezák,Mráziková 993,08001
510607/4818,Dávid,Hanak,Koceková 871,01001
600210/5845,Boris,Martán,Finková 496,96001
610717/2006,Albert,Pavlík,Pavelová 663,91101
580809/5096,Milan,Hliník,Richtárová 200,97101
990207/9460,Matúš,Fink,Kollárová 536,08001
820611/9414,Martin,Marcin,Abrahámová 344,95801
891210/5086,Viktor,Kozmon,Luptáková 183,01001
971114/9703,Radovan,Puškár,Kollárová 597,05801
610324/2920,Miroslav,Koc,Svrbíková 776,05801
691223/8793,Miloš,Jurovic,Nováková 971,03861
640915/4245,Adrián,Murin,Zubeková 634,04001
960528/5062,Pavol,Martán,Cerníková 975,90101
900706/1678,Jaroslav,Tuš,Sklárová 991,97101
820618/8753,Stanislav,Puškár,Holíceková 586,08001
641206/4331,Jozef,Kocek,Nováková 66,97401
901202/2935,Luboš,Martin,Jánošová 575,03861
980315/2580,Róbert,Koc,Puškárová 234,96001
880519/7260,Bohumil,Richtár,Skokanová 957,05801
891013/3020,Dávid,Tatár,Hliníková 807,05801
960902/6090,Ladislav,Marcin,Molnárová 461,96001
860401/4243,Jerguš,Zipser,Nováková 461,01001
610320/2325,Erik,Tatár,Dusíková 340,96001
700127/5288,Jaromír,Mrázik,Maceková 842,96901
670128/4205,Andrej,Németh,Nováková 176,91101
730506/3432,Viliam,Jakab,Karulová 176,91101
800817/3107,Bystrík,Abrahám,Nováková 381,97101
921106/3481,Filip,Klapac,Kovácová 166,96001
560706/2599,Norbert,Molnár,Zipserová 433,95801
900421/9998,Andrej,Jánoš,Lojová 67,91101
560916/5858,Patrik,Pucher,Klapacová 895,97101
861223/9785,Tibor,Gajdoš,Nezvalová 293,03861
531108/9241,Dávid,Mader,Dusíková 641,04001
980309/3406,Lubomír,Baláž,Tomaneková 353,08001
831125/7128,Oto,Martin,Murinová 915,95801
510812/9096,Roman,Loj,Móricová 492,01001
550106/5279,Filip,Mader,Finková 868,91101
700126/3471,Filip,Urban,Urbanová 395,01001
530101/1316,Maroš,Abrahám,Murinová 905,03861
840226/3308,Bruno,Macek,Danová 854,04001
620209/8890,Roman,Tóth,Oláhová 740,97101
710821/2837,Matúš,Klapac,Jakabová 343,95801
721212/1342,Filip,Pavel,Holíceková 88,03601
930807/2803,Jaromír,Jakab,Maderová 264,97401
910403/5541,Juraj,Balog,Kufová 896,05801
921220/6215,Dalibor,Cíger,Rosová 550,95801
650408/5092,Roman,Dusík,Sklárová 858,95801
610919/3237,Viktor,Hudák,Ondrášová 924,90101
860116/6373,Ivan,Chovan,Kovácová 61,03861
640217/7786,Oto,Richtár,Zajacová 375,96901
970708/4607,Viliam,Kolník,Zubeková 265,01001
531219/5145,Boris,Pucher,Sklárová 555,03861
970118/8796,Ivan,Kollár,Fischerová 657,91101
590817/4945,Jozef,Abrahám,Galíková 284,95801
980714/4953,Matúš,Koc,Žigmundová 199,97101
830708/3511,Anton,Nezval,Oláhová 873,97401
550416/6810,Michal,Kollár,Šimová 291,96001
890617/3868,Emanuel,Molnár,Chovanová 460,91101
560518/5332,Bohuš,Hanak,Hanaková 528,95801
521221/9900,Patrik,Kovác,Mráziková 683,03601
580423/2822,Boris,Juráš,Tušová 931,97401
960614/9091,Ján,Oláh,Gálisová 215,97401
960921/6970,Tomáš,Németh,Kocová 46,08001
850420/9629,Marián,Pap,Jurovicová 554,03861
730502/6439,Jozef,Novák,Gálisová 324,08001
990302/9868,František,Polák,Maceková 165,01001
711010/2311,Dávid,Balog,Galíková 725,97401
740327/8778,Vladimír,Juráš,Bakošová 614,97101
570401/2248,Marián,Zubek,Danová 466,04001
691110/1990,Viliam,Németh,Marcinová 228,01001
500207/1177,Boris,Farkaš,Jánošová 197,03601
721227/9388,Miloš,Galík,Kovácová 587,91101
960205/6102,Marek,Ondráš,Sklárová 672,08001
940817/6476,Zdenko,Mader,Richtárová 555,90101
590707/4516,František,Hosták,Simonová 905,91101
760606/7065,Patrik,Macek,Mikuláková 140,03861
901223/2609,Štefan,Koc,Zubeková 96,95801
790606/6359,František,Horváth,Hliníková 358,08001
810103/5366,Lubomír,Urban,Mikuláková 522,96901
740721/1580,Valentín,Pavlík,Mráziková 178,05801
750106/1815,Jakub,Kovácik,Tušová 272,03601
601225/6693,Roman,Martin,Klapacová 431,95801
940403/9885,Marián,Cajkovic,Rosová 366,96001
580126/6443,Filip,Marcin,Tušová 584,91101
961222/6683,Jaromír,Németh,Dullová 824,97401
860128/1466,Patrik,Novák,Šimová 382,97101
801117/6451,Dávid,Ros,Némethová 908,03861
570204/7437,Norbert,Sklár,Kyselová 607,91101
741120/7004,Roman,Svrbík,Pavelová 58,96901
761009/5510,Vladimír,Horváth,Bakošová 188,91101
760307/5785,Miloš,Baláž,Ondrášová 672,96901
850718/4403,Bruno,Tatár,Trlíková 926,96901
740904/8033,Hugo,Žigmund,Gajdošová 67,90101
880224/8514,Andrej,Žigmund,Hostáková 647,97101
570610/5293,Jozef,Zipser,Holíceková 58,03861
760606/8932,Gregor,Richtár,Kováciková 235,96001
530807/9287,František,Havran,Pavlíková 323,91101
910924/4232,Luboš,Tatár,Holíceková 877,97101
560710/9094,Viktor,Loj,Zajacová 952,96901
621125/3423,Vladimír,Heretik,Chovanová 62,91101
680422/4202,Pavol,Chovan,Balogová 862,01001
950107/1427,Tomáš,Cíger,Klapacová 136,03601
850627/3684,Tomáš,Bartoš,Tóthová 379,96901
861012/1615,Andrej,Martin,Karulová 252,03601
690103/5446,Bystrík,Markovic,Kyselová 364,96001
540627/9809,Lukáš,Pap,Valachová 362,08001
600524/2591,Alfonz,Lupták,Mráziková 560,08001
971011/7869,Rastislav,Chovan,Kozmonová 990,96001
520315/5107,Bystrík,Konrád,Balogová 69,03601
610916/5340,Branislav,Mrázik,Jurášová 267,08001
890304/4902,Martin,Kollár,Bartošová 624,90101
860614/5507,Gabriel,Orlík,Ondrášová 946,91101
581124/5708,Jerguš,Zipser,Kufová 28,03601
900211/9667,Roman,Martin,Marcinová 387,08001
690228/3088,Luboš,Klapac,Havranová 413,04001
900906/4774,Valentín,Žigmund,Ondrášová 950,90101
511027/6141,Vladimír,Kuf,Svrbíková 793,97101
610425/9394,Boris,Bezák,Farkašová 140,05801
910825/5490,Matúš,Kovác,Bakošová 897,05801
890426/3880,Ján,Dull,Koceková 245,03601
711023/4979,Bystrík,Murin,Molnárová 670,95801
581125/3395,Matúš,Novák,Zipserová 467,95801
971015/5891,Lubomír,Kozmon,Poláková 531,03861
810910/1163,Ján,Juráš,Balogová 86,96001
511120/6853,Bruno,Juráš,Konrádová 487,91101
780405/9889,Roman,Chovan,Pavlíková 346,95801
600422/1551,Róbert,Abrahám,Jurášová 877,91101
691125/4841,Andrej,Pavlík,Valachová 960,04001
771126/6940,Matej,Zajac,Klapacová 326,05801
610725/5595,Adrián,Kovác,Marcinová 375,03601
841021/6940,Adrián,Galík,Chovanová 419,01001
850118/8894,Daniel,Tatár,Kufová 698,97401
840116/4019,Patrik,Zajac,Móricová 915,97401
591021/9451,Valentín,Cajkovic,Hostáková 826,91101
950109/5627,Anton,Novák,Murinová 997,96901
750810/8983,Adam,Chovan,Molnárová 86,96001
540506/7219,Miloš,Lupták,Balážová 584,96901
850203/2956,Jaroslav,Ros,Luptáková 832,96001
510308/4264,Róbert,Juráš,Hanaková 282,96001
761202/2942,Andrej,Simon,Pucherová 847,05801
610125/8450,Dušan,Cíger,Dusíková 139,08001
970510/9273,Albert,Holícek,Balogová 754,96901
821103/4985,Tomáš,Mrázik,Palovicová 724,08001
821028/7959,Igor,Chovan,Bezáková 591,90101
581227/6839,Ján,Lupták,Luptáková 490,04001
600302/8870,Pavol,Gajdoš,Oláhová 74,96901
961213/5480,Štefan,Dull,Simonová 572,96001
940116/5477,Vojtech,Pavlík,Orlíková 658,05801
650327/4447,Lukáš,Žigmund,Mráziková 71,96001
800910/6710,Emil,Tomanek,Valachová 379,04001
550914/4526,Bruno,Kovácik,Pavlíková 179,96001
630715/9211,Boris,Konrád,Kocová 960,05801
940501/7543,Bystrík,Hanak,Oláhová 780,97401
510713/2809,Ivan,Ros,Simonová 707,97101
581108/6356,Valentín,Fink,Papová 38,01001
680819/5955,Maroš,Horváth,Jurovicová 21,08001
860106/5994,Andrej,Kozmon,Simonová 874,97101
880224/4967,Emil,Kysel,Pavelová 785,01001
590426/7675,Bohuš,Tuš,Nezvalová 618,04001
830323/9865,Roman,Kovác,Martánová 349,03601
690320/1305,Marián,Bakoš,Šimová 466,97401
651113/2342,Rastislav,Loj,Tatárová 386,96901
750327/1558,Miloslav,Kocek,Jurášová 276,97401
851207/4196,Erik,Kysel,Tatárová 918,91101
611201/9645,Stanislav,Kuf,Žigmundová 505,03861
891104/3944,Róbert,Holícek,Kozmonová 181,95801
770214/8346,Martin,Hosták,Pucherová 118,91101
900521/7060,Ján,Jánoš,Pavlíková 610,01001
891103/8892,Miloš,Chovan,Galíková 493,96001
761211/2723,Igor,Havran,Karulová 615,01001
621121/7382,Bohuš,Konrád,Oláhová 512,96901
690111/1700,Vladimír,Trlík,Richtárová 672,96901
900423/9718,Rastislav,Jakab,Mikuláková 556,95801
880124/3590,Miloš,Lukác,Maderová 175,03861
521119/8912,Gregor,Kocek,Cígerová 298,08001
851117/5244,Milan,Nezval,Pavlíková 698,97401
820927/2709,Viktor,Abrahám,Urbanová 558,97101
771107/3366,Matúš,Kovác,Kovácová 725,05801
510104/8468,Oliver,Chovan,Pavlíková 814,03861
880506/7038,Tomáš,Balog,Palovicová 173,91101
911215/1225,Peter,Lukác,Orlíková 652,96001
720310/1363,Emil,Loj,Karulová 105,97101
810715/2683,René,Gajdoš,Cígerová 222,01001
941207/3671,Daniel,Zubek,Jurášová 111,90101
671123/8268,Luboš,Sklár,Tatárová 838,90101
940818/6082,Matúš,Kolník,Hanaková 726,03861
670406/5152,Patrik,Urban,Trlíková 892,96901
680724/2985,Gregor,Jurovic,Bartošová 321,05801
970708/5853,Pavol,Fink,Tomaneková 260,90101
811020/3556,Dávid,Oláh,Urbanová 333,90101
721014/5271,Erik,Kocek,Kozmonová 476,03601
520514/8318,Bernard,Martin,Jánošová 165,97401
670424/1174,Ludovít,Hosták,Cígerová 229,08001
971221/9660,Luboš,Klapac,Chovanová 963,95801
550609/9181,Filip,Zipser,Karulová 500,05801
790903/6833,Boris,Cajkovic,Jakabová 796,08001
661204/9520,Lubomír,Mikulák,Tatárová 833,91101
910404/5923,Matúš,Jánoš,Martánová 858,96001
650502/5723,Viliam,Kozmon,Maceková 950,04001
701113/1913,Roman,Novák,Nováková 469,03861
920301/8303,Adrián,Pucher,Oláhová 887,97101
890116/7746,Stanislav,Dan,Tatárová 964,97101
680617/9051,Jaroslav,Hanak,Klapacová 625,03601
720815/4302,Radovan,Baláž,Maceková 133,08001
841003/9303,Vladislav,Gális,Hanaková 993,96901
900214/6408,Dávid,Kollár,Holíceková 729,97401
881105/9388,Filip,Nezval,Horváthová 574,96001
740125/2692,Andrej,Loj,Fischerová 477,91101
550302/5163,Matej,Markovic,Havranová 896,90101
800625/2689,Erik,Ondráš,Karulová 317,08001
880703/6742,Radovan,Mader,Nováková 237,01001
630410/4812,Bystrík,Trlík,Oláhová 626,01001
980411/7970,Ivan,Hanak,Gálisová 346,97101
921205/3459,Andrej,Tuš,Kováciková 432,03861
800517/5362,Valentín,Klapac,Mikuláková 724,03601
620805/2725,Bohumil,Fischer,Kozmonová 642,03601
821020/7438,Peter,Cerník,Bakošová 632,97101
960119/7917,Andrej,Bartoš,Galíková 765,04001
990203/7391,Boris,Hliník,Luptáková 730,96001
690317/6634,Miloslav,Tatár,Cerníková 749,03861
590216/4159,Emil,Bartoš,Móricová 827,97401
991203/5276,Matúš,Zajac,Tomaneková 781,04001
740121/4862,Juraj,Bartoš,Trlíková 816,96901
790319/7890,Lubomír,Skokan,Koceková 305,04001
641010/9191,Anton,Nezval,Kufová 694,97401
590225/9780,Bernard,Kocek,Hliníková 526,91101
730410/4658,Ivan,Kovác,Pucherová 712,03861
950310/2450,Bohumil,Gális,Zajacová 965,08001
830116/5069,Adrián,Gajdoš,Mráziková 383,96901
800801/8823,Samuel,Klapac,Kolníková 873,05801
790309/2783,Emil,Tomanek,Kyselová 389,05801
640505/9213,Branislav,Abrahám,Dusíková 78,90101
980804/7280,Matúš,Žigmund,Nováková 473,04001
820316/6830,Dominik,Gális,Móricová 848,01001
890127/1774,Patrik,Fischer,Horváthová 324,03861
870120/4186,Vladislav,Baláž,Ondrášová 602,03861
941023/8199,Jakub,Mikulák,Koceková 854,95801
950324/7341,Viktor,Polák,Tomaneková 176,95801
511105/6672,Miloš,Jurovic,Mikuláková 349,03601
931106/9710,Emanuel,Havran,Fischerová 768,05801
670118/7279,Viliam,Dusík,Konrádová 854,91101
811205/7019,Jerguš,Zipser,Némethová 377,01001
540916/6156,Bruno,Horváth,Martánová 301,03861
811012/5926,Róbert,Novák,Hanaková 455,01001
630327/7359,Miloš,Sklár,Oláhová 556,97401
570903/6846,Tomáš,Puškár,Mráziková 825,95801
890403/3622,Adrián,Hosták,Nováková 940,96001
650919/1351,Maroš,Oláh,Mráziková 201,95801
650824/3649,Vojtech,Novák,Bezáková 594,08001
631009/2223,Maroš,Macek,Chovanová 194,96901
530624/3392,Ján,Koc,Šimová 40,04001
770327/6373,Miroslav,Orlík,Skokanová 163,03601
930811/5097,Ján,Lupták,Karulová 517,91101
690115/2718,Vladislav,Kozmon,Tatárová 433,97101
820920/3734,Lubomír,Simon,Havranová 429,03601
610410/5201,Jaromír,Havran,Urbanová 512,96901
900523/8653,Ferdinand,Orlík,Ondrášová 83,96901
960508/2129,Vladislav,Hosták,Luptáková 919,96901
650318/5367,Dalibor,Konrád,Jurášová 450,97101
561017/2128,Ladislav,Novák,Hostáková 565,03861
670714/4752,Emanuel,Chovan,Kováciková 672,95801
750119/9935,Miloš,Gajdoš,Tatárová 485,96001
